Time,Inv 1 AC-Leistung (W)
13.12.2021,890.4771W
14.12.2021,2188.6306W
15.12.2021,611.6339W
16.12.2021,2258.6846W
17.12.2021,2045.6697W
18.12.2021,2499.5454W
19.12.2021,2716.009W
20.12.2021,2654.4866W
21.12.2021,2616.2546W
22.12.2021,438.3273W
23.12.2021,853.7818W
24.12.2021,1217.7686W
25.12.2021,1641.9175W
26.12.2021,134.5446W
27.12.2021,219.1373W
28.12.2021,139.2475W
29.12.2021,2230.6943W
30.12.2021,2167.7964W
31.12.2021,2721.991W
01.01.2022,2253.761W
02.01.2022,2462.5676W
03.01.2022,2165.4814W
04.01.2022,746.3423W
05.01.2022,123.1635W
06.01.2022,2531.0356W
07.01.2022,3244.3394W
08.01.2022,1771.6339W
09.01.2022,1200.1072W
10.01.2022,1275.1982W
11.01.2022,3328.3564W
12.01.2022,3311.4036W
13.01.2022,3123.1379W
14.01.2022,3238.6897W
15.01.2022,3068.0862W
16.01.2022,3169.7119W
17.01.2022,2055.1379W
18.01.2022,3472.6035W
19.01.2022,3351.8135W
20.01.2022,1846.8435W
21.01.2022,3858.3418W
22.01.2022,3290.8462W
23.01.2022,2233.2136W
24.01.2022,118.3894W
25.01.2022,3551.5798W
26.01.2022,466.8898W
27.01.2022,995.34W
28.01.2022,1779.174W
29.01.2022,2076.123W
30.01.2022,3993.9751W
31.01.2022,1017.1138W
01.02.2022,2702.7024W
02.02.2022,2379.5454W
03.02.2022,2843.7097W
04.02.2022,3833.8862W
05.02.2022,3396.0476W
06.02.2022,2514.9753W
07.02.2022,2050.2683W
08.02.2022,3567.1372W
09.02.2022,3820.4761W
10.02.2022,3958.3047W
11.02.2022,2624.1182W
12.02.2022,4246.6016W
13.02.2022,4195.0776W
14.02.2022,4126.3662W
15.02.2022,2350.5681W
16.02.2022,3871.4539W
17.02.2022,3966.6538W
18.02.2022,3920.3608W
19.02.2022,1337.6923W
20.02.2022,2335.3435W
21.02.2022,719.3384W
22.02.2022,3416.5076W
23.02.2022,3998.4478W
24.02.2022,4084.772W
25.02.2022,479.7836W
26.02.2022,2413.9783W
27.02.2022,3727.1396W
28.02.2022,3654.1079W
01.03.2022,4377.8726W
02.03.2022,4473.4102W
03.03.2022,4179.4751W
04.03.2022,2597.4639W
05.03.2022,1233.4214W
06.03.2022,1529.741W
07.03.2022,4007.7832W
08.03.2022,3158.2268W
09.03.2022,4222.4214W
10.03.2022,4274.6782W
11.03.2022,4405.1309W
12.03.2022,4667.7656W
13.03.2022,4506.1484W
14.03.2022,4181.2651W
15.03.2022,1930.9445W
16.03.2022,1743.6107W
17.03.2022,3114.8367W
18.03.2022,1789.1987W
19.03.2022,1297.9597W
20.03.2022,3906.4268W
21.03.2022,4486.5845W
22.03.2022,4486.7778W
23.03.2022,4430.0386W
24.03.2022,4434.7988W
25.03.2022,4073.1741W
26.03.2022,4035.9495W
27.03.2022,4156.6216W
28.03.2022,4138.9492W
29.03.2022,3463.7114W
30.03.2022,1092.6666W
31.03.2022,474.9412W
01.04.2022,1120.5166W
02.04.2022,659.9167W
03.04.2022,2251.6306W
04.04.2022,2189.3313W
05.04.2022,2031.7407W
06.04.2022,4380.6025W
07.04.2022,3327.2036W
08.04.2022,2018.7531W
09.04.2022,726.8025W
10.04.2022,3437.9697W
11.04.2022,4511.1987W
12.04.2022,4404.2529W
13.04.2022,4233.1846W
14.04.2022,4293.3677W
15.04.2022,1905.2275W
16.04.2022,3321.071W
17.04.2022,4450.041W
18.04.2022,2362.1726W
19.04.2022,536.5844W
20.04.2022,4409.4268W
21.04.2022,3766.8843W
22.04.2022,313.0994W
23.04.2022,724.5029W
24.04.2022,3050.4194W
25.04.2022,3067.23W
26.04.2022,1158.7485W
27.04.2022,993.2601W
28.04.2022,2593.8694W
29.04.2022,3188.4971W
30.04.2022,4167.9043W
01.05.2022,1673.4171W
02.05.2022,1968.8693W
03.05.2022,3738.1118W
04.05.2022,3088.7151W
05.05.2022,3031.1685W
06.05.2022,759.0862W
07.05.2022,606.9769W
08.05.2022,1947.5945W
09.05.2022,3344.2556W
10.05.2022,3393.6775W
11.05.2022,3778.0437W
12.05.2022,3327.2131W
13.05.2022,1941.011W
14.05.2022,3850.8171W
15.05.2022,3427.0645W
16.05.2022,2520.1028W
17.05.2022,2474.0989W
18.05.2022,3470.1809W
19.05.2022,3870.2566W
20.05.2022,3538.2258W
21.05.2022,1838.6703W
22.05.2022,3656.7393W
23.05.2022,2386.2913W
24.05.2022,2701.615W
25.05.2022,1581.2222W
26.05.2022,2497.0105W
27.05.2022,3748.4712W
28.05.2022,646.9465W
29.05.2022,811.7031W
30.05.2022,2412.1106W
31.05.2022,3771.2292W
01.06.2022,3423.3855W
02.06.2022,2575.9097W
03.06.2022,2551.8489W
04.06.2022,3424.8376W
05.06.2022,1051.2135W
06.06.2022,3327.3403W
07.06.2022,1959.7151W
08.06.2022,1584.6388W
09.06.2022,586.0695W
10.06.2022,1476.1771W
11.06.2022,2893.2246W
12.06.2022,3015.4236W
13.06.2022,1694.2284W
14.06.2022,3372.2144W
15.06.2022,3482.269W
16.06.2022,1834.9794W
17.06.2022,2933.4314W
18.06.2022,3520.8782W
19.06.2022,3619.0203W
20.06.2022,2659.5938W
21.06.2022,654.5876W
22.06.2022,1537.0481W
23.06.2022,1576.7225W
24.06.2022,1856.5562W
25.06.2022,2860.4336W
26.06.2022,3255.7969W
27.06.2022,3407.6174W
28.06.2022,2960.9534W
29.06.2022,2676.5027W
30.06.2022,2918.4248W
01.07.2022,3126.1123W
02.07.2022,3528.5532W
03.07.2022,3718.9211W
04.07.2022,1846.3673W
05.07.2022,2365.5469W
06.07.2022,3381.0774W
07.07.2022,1433.5566W
08.07.2022,3807.917W
