Time,Inv 1 AC-Leistung (W)
2022-07-16,3232.9163W
2022-07-17,3712.2605W
2022-07-18,3656.0364W
2022-07-19,3639.8064W
2022-07-20,3670.679W
2022-07-21,3425.6719W
2022-07-22,3449.5503W
2022-07-23,2828.3635W
2022-07-24,3142.4277W
2022-07-25,3509.4973W
2022-07-26,1933.543W
2022-07-27,1002.8716W
2022-07-28,3516.4624W
2022-07-29,2122.9563W
2022-07-30,1900.9944W
2022-07-31,3355.3999W
2022-08-01,2402.25W
2022-08-02,2552.3298W
2022-08-03,3700.1794W
2022-08-04,3690.2732W
2022-08-05,3144.1667W
2022-08-06,1157.348W
2022-08-07,2625.0225W
2022-08-08,1136.1967W
2022-08-09,3697.8452W
2022-08-10,3134.5586W
2022-08-11,3437.147W
2022-08-12,2866.2529W
2022-08-13,1528.8409W
2022-08-14,3486.2261W
2022-08-15,3543.199W
2022-08-16,2792.324W
2022-08-17,3799.217W
2022-08-18,2806.0342W
2022-08-19,1822.9941W
2022-08-20,1494.7765W
2022-08-21,1117.0291W
2022-08-22,1047.3893W
2022-08-23,1096.8735W
2022-08-24,2775.8765W
2022-08-25,2475.9414W
2022-08-26,3619.2249W
2022-08-27,2845.3835W
2022-08-28,2793.9465W
2022-08-29,2236.8403W
2022-08-30,3380.8071W
2022-08-31,1144.3435W
2022-09-01,1655.5792W
2022-09-02,3212.2195W
2022-09-03,3604.0732W
2022-09-04,3359.6829W
2022-09-05,2022.4136W
2022-09-06,3443.29W
2022-09-07,2883.8875W
2022-09-08,1831.7562W
2022-09-09,1169.405W
2022-09-10,2714.7043W
2022-09-11,2104.2124W
2022-09-12,3807.8735W
2022-09-13,3324.9045W
